path,target,split
train/target_laser_camera3_801_16014645483761236001077x895.jpg,2,train
train/target_human_IMG_24564910x931.jpg,1,train
train/human_IMG_41349971x1546.jpg,0,train
train/target_human_IMG_29353903x152.jpg,1,train
train/target_laser_camera1_10990_4236867938986479x185.jpg,2,train
train/target_human_camera4_1301_16014645766992789001036x1023.jpg,1,train
train/human_IMG_415311047x1371.jpg,0,train
train/target_laser_camera1_27330_4289159852134361x338.jpg,2,train
train/target_laser_camera4_1281_16014645754992789001096x1016.jpg,2,train
train/human_IMG_38446832x1153.jpg,0,train
train/target_laser_camera4_5696_16014648600492789001108x175.jpg,2,train
train/target_gun_IMG_163751001x866.jpg,3,train
train/target_human_IMG_33642974x664.jpg,1,train
train/human_IMG_356041039x1572.jpg,0,train
train/human_IMG_16416742x784.jpg,0,train
train/target_human_camera1_32988_4307267769286451x708.jpg,1,train
train/target_human_IMG_37753781x534.jpg,1,train
train/target_human_camera4_1584_1601980119474292700979x191.jpg,1,train
train/target_gun_IMG_197911030x1665.jpg,3,train
train/target_human_IMG_31572881x857.jpg,1,train
train/human_IMG_391021058x1549.jpg,0,train
train/target_human_IMG_21131935x917.jpg,1,train
train/target_human_camera1_5626_52781251269001028x1227.jpg,1,train
train/target_laser_camera3_10162_16013807018020030001124x730.jpg,2,train
train/target_laser_camera1_4196_52952693365001139x1730.jpg,2,train
train/target_gun_IMG_289611029x1227.jpg,3,train
train/target_gun_IMG_244501085x901.jpg,3,train
train/target_gun_IMG_387061442x1773.jpg,3,train
train/target_human_IMG_17252894x2023.jpg,1,train
train/target_tank_IMG_238961207x590.jpg,4,train
train/target_laser_camera1_3576_61150979590001142x249.jpg,2,train
train/target_human_camera1_7596_16014662783118008001146x553.jpg,1,train
train/target_human_IMG_36136819x1006.jpg,1,train
train/human_IMG_10307874x499.jpg,0,train
train/human_IMG_59081149x286.jpg,0,train
train/target_tank_IMG_22068937x1825.jpg,4,train
train/target_gun_IMG_41827986x935.jpg,3,train
train/target_human_IMG_42620877x825.jpg,1,train
train/target_human_IMG_37069826x895.jpg,1,train
train/target_laser_camera1_3810_5271602693500927x1113.jpg,2,train
train/target_human_camera4_1891_16014658895500970001009x769.jpg,1,train
train/target_tank_IMG_23713961x1315.jpg,4,train
train/target_human_camera3_1531_16014658709250304001035x1281.jpg,1,train
train/target_human_IMG_83551147x977.jpg,1,train
train/target_gun_IMG_34506972x854.jpg,3,train
train/target_gun_IMG_411431058x1660.jpg,3,train
train/target_gun_IMG_41921125x1927.jpg,3,train
train/target_human_camera4_1706_1601464601849278900982x1426.jpg,1,train
train/target_laser_camera1_4374_53064121825001253x42.jpg,2,train
train/target_laser_camera1_4350_61594788670001264x678.jpg,2,train
train/human_IMG_35578978x1962.jpg,0,train
train/target_human_IMG_26940883x1216.jpg,1,train
train/target_laser_camera1_4808_61858597930001476x1910.jpg,2,train
train/target_human_camera1_4363_5305793135500931x337.jpg,1,train
train/target_laser_camera3_1143_16019801023429421001231x3.jpg,2,train
train/target_gun_IMG_297281064x77.jpg,3,train
train/target_human_IMG_42271931x63.jpg,1,train
train/target_gun_IMG_273721008x1936.jpg,3,train
train/target_gun_IMG_20365871x1303.jpg,3,train
train/target_human_IMG_255951003x643.jpg,1,train
train/target_human_IMG_38645942x1268.jpg,1,train
train/target_tank_IMG_311681122x611.jpg,4,train
train/human_IMG_5894894x646.jpg,0,train
train/target_human_IMG_311261058x1054.jpg,1,train
train/human_IMG_41910631x1481.jpg,0,train
train/human_IMG_16314762x1107.jpg,0,train
train/target_human_camera2_2551_16014646595382999001062x1106.jpg,1,train
train/target_human_camera1_4577_6172669330000798x1493.jpg,1,train
train/target_laser_camera1_6346_16014661935118008001048x415.jpg,2,train
train/target_human_IMG_28808869x1026.jpg,1,train
train/target_laser_camera1_4251_5298745523500848x1546.jpg,2,train
train/target_human_camera1_36707_431917443292290x243.jpg,1,train
train/target_human_camera4_1721_16014646027992789001158x768.jpg,1,train
train/target_gun_IMG_41284966x1991.jpg,3,train
train/target_human_IMG_35673843x1552.jpg,1,train
train/human_IMG_33720660x50.jpg,0,train
train/target_gun_IMG_38447873x0.jpg,3,train
train/target_gun_IMG_197761059x1317.jpg,3,train
train/target_human_IMG_42740817x1672.jpg,1,train
train/human_IMG_17248925x91.jpg,0,train
train/target_human_camera2_4256_1601466039909236600995x2010.jpg,1,train
train/target_human_IMG_41888976x350.jpg,1,train
train/target_tank_IMG_202671102x992.jpg,4,train
train/target_gun_IMG_389771040x1886.jpg,3,train
train/target_human_camera4_3781_16014647346992789001114x795.jpg,1,train
train/target_human_IMG_26090964x65.jpg,1,train
train/target_tank_IMG_327151108x1023.jpg,4,train
train/target_human_IMG_34150826x1119.jpg,1,train
train/target_laser_camera4_5381_16014648395492789001095x454.jpg,2,train
train/target_human_IMG_38031819x397.jpg,1,train
train/target_human_IMG_33869845x405.jpg,1,train
train/target_human_IMG_382151128x763.jpg,1,train
train/target_human_IMG_18311759x1807.jpg,1,train
train/target_human_camera4_1584_1601980119474292700981x557.jpg,1,train
train/target_laser_camera3_1404_16019801153929421001491x1458.jpg,2,train
train/target_human_IMG_27959933x931.jpg,1,train
train/target_human_camera2_1416_16014645861382999001018x1169.jpg,1,train
train/target_tank_IMG_331491222x1334.jpg,4,train
train/target_gun_IMG_31421966x1194.jpg,3,train
train/human_IMG_34768792x782.jpg,0,train
train/target_gun_IMG_261211028x1407.jpg,3,train
train/target_human_IMG_38531863x184.jpg,1,train
train/target_human_IMG_29429983x1079.jpg,1,train
train/target_human_IMG_376491085x1826.jpg,1,train
train/target_human_IMG_32932895x907.jpg,1,train
train/target_tank_IMG_238221184x705.jpg,4,train
train/target_human_IMG_299761028x1678.jpg,1,train
train/target_human_IMG_32702896x121.jpg,1,train
train/target_human_IMG_22900926x790.jpg,1,train
train/target_gun_IMG_329391156x871.jpg,3,train
train/target_laser_camera1_4774_61839074140001386x461.jpg,2,train
train/target_gun_IMG_339251225x1947.jpg,3,train
train/human_IMG_412211107x22.jpg,0,train
train/target_laser_camera1_4568_6172145521000929x413.jpg,2,train
train/target_human_IMG_33109866x347.jpg,1,train
train/target_tank_IMG_390301006x994.jpg,4,train
train/target_human_IMG_33445340x1175.jpg,1,train
train/target_human_IMG_42652801x1234.jpg,1,train
train/human_IMG_36754930x1186.jpg,0,train
